"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","613","has title","chromium","Mon Nov 10 11:55:18 UTC 2025","passed","Mon Nov 10 11:55:18 UTC 2025","","example.spec.js","",""
"","529","get started link","chromium","Mon Nov 10 11:55:22 UTC 2025","failed","Mon Nov 10 11:55:23 UTC 2025","","Fail.spec.js","",""
"","222","has title","chromium","Mon Nov 10 11:55:19 UTC 2025","passed","Mon Nov 10 11:55:20 UTC 2025","","Fail.spec.js","",""
"","1719","get started link","firefox","Mon Nov 10 11:55:32 UTC 2025","failed","Mon Nov 10 11:55:34 UTC 2025","","Fail.spec.js","",""
"","1746","get started link","webkit","Mon Nov 10 11:55:42 UTC 2025","passed","Mon Nov 10 11:55:43 UTC 2025","","example.spec.js","",""
"","1181","get started link","webkit","Mon Nov 10 11:55:48 UTC 2025","failed","Mon Nov 10 11:55:49 UTC 2025","","Fail.spec.js","",""
"","5343","has title","webkit","Mon Nov 10 11:55:35 UTC 2025","passed","Mon Nov 10 11:55:41 UTC 2025","","example.spec.js","",""
"","565","has title","webkit","Mon Nov 10 11:55:43 UTC 2025","passed","Mon Nov 10 11:55:44 UTC 2025","","Fail.spec.js","",""
"","1208","has title","firefox","Mon Nov 10 11:55:24 UTC 2025","passed","Mon Nov 10 11:55:25 UTC 2025","","example.spec.js","",""
"","474","get started link","chromium","Mon Nov 10 11:55:19 UTC 2025","passed","Mon Nov 10 11:55:19 UTC 2025","","example.spec.js","",""
"","475","has title","firefox","Mon Nov 10 11:55:26 UTC 2025","passed","Mon Nov 10 11:55:27 UTC 2025","","Fail.spec.js","",""
"","826","get started link","firefox","Mon Nov 10 11:55:25 UTC 2025","passed","Mon Nov 10 11:55:26 UTC 2025","","example.spec.js","",""
